"geneID"	"GSM1517288"	"GSM1517289"	"GSM1517290"	"GSM1517291"	"GSM1517292"	"GSM1517293"	"GSM1517294"	"GSM1517295"	"GSM1517296"	"GSM1517297"	"GSM1517298"	"GSM1517299"	"GSM1517300"	"GSM1517301"	"GSM1517302"	"GSM1517303"	"GSM1517304"
"1"	"ENSMUSG00000000001"	775	836	1090	834	1046	659	718	880	660	805	485	443	622	462	524	404	568
"2"	"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	"ENSMUSG00000000028"	40	36	45	31	31	23	22	34	30	37	20	19	36	25	27	17	24
"4"	"ENSMUSG00000000031"	4	9	8	39	9	5	2	0	6	9	4	5	2	3	2	3	1
"5"	"ENSMUSG00000000037"	9	22	21	13	31	13	13	16	13	16	14	7	8	4	10	7	16
"6"	"ENSMUSG00000000049"	11	3	12	9	13	8	6	6	9	6	3	4	4	3	3	2	6
"7"	"ENSMUSG00000000056"	1149	1023	1625	1070	1051	773	770	1077	816	1019	509	669	874	679	647	541	784
"8"	"ENSMUSG00000000058"	534	559	745	477	791	651	600	712	567	583	367	371	490	424	373	304	440
"9"	"ENSMUSG00000000078"	795	754	840	839	824	568	572	817	534	680	374	382	540	434	388	387	538
"10"	"ENSMUSG00000000085"	1111	819	1292	960	810	526	518	877	600	683	353	448	584	441	481	391	515
"11"	"ENSMUSG00000000088"	1955	1535	2428	1708	1546	1032	1114	1352	1158	1378	749	1166	1381	994	1082	967	1195
"12"	"ENSMUSG00000000093"	57	30	40	23	35	32	26	35	32	33	16	20	26	16	29	18	23
"13"	"ENSMUSG00000000094"	3	4	4	6	0	3	4	6	4	6	4	3	1	1	6	4	3
"14"	"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	"ENSMUSG00000000120"	96	78	110	130	117	67	64	74	63	88	58	29	78	67	62	58	63
"16"	"ENSMUSG00000000125"	49	50	44	66	43	29	20	47	42	44	21	20	54	22	36	30	29
"17"	"ENSMUSG00000000126"	301	350	312	384	346	192	179	265	209	253	132	113	140	128	143	135	182
"18"	"ENSMUSG00000000127"	414	410	585	367	450	275	264	479	276	363	191	242	278	220	217	217	250
"19"	"ENSMUSG00000000131"	2417	2014	3192	1900	2035	1497	1380	2077	1572	1920	970	1104	1582	1178	1273	1122	1540
"20"	"ENSMUSG00000000134"	867	727	1153	796	752	526	491	742	579	673	375	441	580	367	437	421	525
"21"	"ENSMUSG00000000142"	653	466	689	536	535	330	302	443	343	452	216	283	373	296	300	271	345
"22"	"ENSMUSG00000000148"	493	377	632	456	384	275	246	382	311	348	159	246	270	173	232	207	291
"23"	"ENSMUSG00000000149"	2920	2360	3309	2722	2592	1508	1638	2056	1787	2311	1269	1529	2111	1339	1572	1404	1973
"24"	"ENSMUSG00000000154"	20	28	12	38	32	31	24	15	37	35	18	5	19	10	17	16	23
"25"	"ENSMUSG00000000157"	5	0	7	0	4	1	4	2	1	5	5	0	7	5	2	0	7
"26"	"ENSMUSG00000000159"	9	16	15	21	16	8	13	7	7	27	9	9	17	8	10	9	4
"27"	"ENSMUSG00000000167"	56	60	67	70	74	43	53	62	40	38	37	23	38	37	23	24	35
"28"	"ENSMUSG00000000168"	2784	2470	3854	2379	2725	2124	1898	2740	2078	2386	1327	1338	1752	1315	1371	1185	1588
"29"	"ENSMUSG00000000171"	1826	1567	2358	1758	1721	1214	1129	1532	1304	1572	790	949	1205	884	945	812	978
"30"	"ENSMUSG00000000182"	5	3	4	3	3	5	2	9	2	4	1	4	3	2	6	3	11
"31"	"ENSMUSG00000000183"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"32"	"ENSMUSG00000000184"	2204	1950	3153	2053	2213	1314	1321	1946	1389	1730	847	1264	1535	1215	1085	861	1256
"33"	"ENSMUSG00000000194"	1490	1329	1927	1263	1164	880	838	1154	953	1231	563	760	907	659	751	565	843
"34"	"ENSMUSG00000000197"	3336	3102	5095	2807	3228	2408	2044	3172	2362	2694	1508	1650	2192	1741	1615	1443	1858
"35"	"ENSMUSG00000000202"	444	329	495	323	301	162	198	203	182	212	139	157	191	159	157	127	185
